StoreID,StoreCountry,StoreState,StoreSqMeters,StoreOpenDate
29,Italy,Enna,1000,2008-01-01
44,United States,Arkansas,2000,2010-06-03
44,United States,Arkansas,2000,2010-06-03
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
45,United States,Connecticut,2000,2007-07-08
5,Australia,Victoria,2000,2015-12-09
5,Australia,Victoria,2000,2015-12-09
5,Australia,Victoria,2000,2015-12-09
64,United States,Washington DC,1330,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
29,Italy,Enna,1000,2008-01-01
22,Germany,Freistaat ThÃÂ¼ringen,2000,2008-03-06
50,United States,Kansas,2000,2008-03-06
24,Germany,Hessen,1855,2012-12-15
24,Germany,Hessen,1855,2012-12-15
24,Germany,Hessen,1855,2012-12-15
24,Germany,Hessen,1855,2012-12-15
59,United States,Oregon,2000,2012-08-08
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
37,United Kingdom,Ayrshire,2100,2005-03-04
37,United Kingdom,Ayrshire,2100,2005-03-04
57,United States,New Mexico,1645,2010-06-03
57,United States,New Mexico,1645,2010-06-03
57,United States,New Mexico,1645,2010-06-03
57,United States,New Mexico,1645,2010-06-03
9,Canada,Northwest Territories,1500,2005-03-04
9,Canada,Northwest Territories,1500,2005-03-04
59,United States,Oregon,2000,2012-08-08
62,United States,South Dakota,1120,2018-06-03
62,United States,South Dakota,1120,2018-06-03
62,United States,South Dakota,1120,2018-06-03
62,United States,South Dakota,1120,2018-06-03
0,Online,Online,0,2010-01-01
64,United States,Washington DC,1330,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
29,Italy,Enna,1000,2008-01-01
10,Canada,Nunavut,1210,2015-04-04
10,Canada,Nunavut,1210,2015-04-04
10,Canada,Nunavut,1210,2015-04-04
10,Canada,Nunavut,1210,2015-04-04
10,Canada,Nunavut,1210,2015-04-04
10,Canada,Nunavut,1210,2015-04-04
10,Canada,Nunavut,1210,2015-04-04
0,Online,Online,0,2010-01-01
54,United States,Nebraska,2000,2013-06-07
54,United States,Nebraska,2000,2013-06-07
54,United States,Nebraska,2000,2013-06-07
47,United States,Hawaii,1120,2015-04-04
47,United States,Hawaii,1120,2015-04-04
47,United States,Hawaii,1120,2015-04-04
40,United Kingdom,Dungannon and South Tyrone,1300,2012-06-06
40,United Kingdom,Dungannon and South Tyrone,1300,2012-06-06
40,United Kingdom,Dungannon and South Tyrone,1300,2012-06-06
59,United States,Oregon,2000,2012-08-08
59,United States,Oregon,2000,2012-08-08
59,United States,Oregon,2000,2012-08-08
59,United States,Oregon,2000,2012-08-08
37,United Kingdom,Ayrshire,2100,2005-03-04
37,United Kingdom,Ayrshire,2100,2005-03-04
37,United Kingdom,Ayrshire,2100,2005-03-04
31,Netherlands,Drenthe,1085,2012-01-07
31,Netherlands,Drenthe,1085,2012-01-07
31,Netherlands,Drenthe,1085,2012-01-07
31,Netherlands,Drenthe,1085,2012-01-07
31,Netherlands,Drenthe,1085,2012-01-07
42,United Kingdom,North Down,1900,2009-12-15
49,United States,Iowa,2000,2018-06-03
10,Canada,Nunavut,1210,2015-04-04
10,Canada,Nunavut,1210,2015-04-04
48,United States,Idaho,1540,2012-12-15
57,United States,New Mexico,1645,2010-06-03
57,United States,New Mexico,1645,2010-06-03
57,United States,New Mexico,1645,2010-06-03
57,United States,New Mexico,1645,2010-06-03
57,United States,New Mexico,1645,2010-06-03
57,United States,New Mexico,1645,2010-06-03
57,United States,New Mexico,1645,2010-06-03
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
0,Online,Online,0,2010-01-01
65,United States,West Virginia,1785,2012-01-01
65,United States,West Virginia,1785,2012-01-01
65,United States,West Virginia,1785,2012-01-01
